,R0,R1,R2,R3,R4,R5,R6
Duke,1.0,0.9899699091911316,0.8296369398674345,0.6456426837459984,0.486695449068428,0.3214800913342978,0.20253063796150778
Michigan,1.0,0.9894842263311148,0.8361555086055444,0.6434516254871435,0.4343789379072843,0.275299190522509,0.16121379804778585
Arizona,1.0,0.9894472360610962,0.8163614432124724,0.6207615937936517,0.4181011390761034,0.2378585360823023,0.13269784343918536
Florida,1.0,0.9939939975738525,0.7638336167393064,0.5313947141783892,0.2962226524231756,0.1547014966773054,0.08057739829155476
Houston,1.0,0.9631685614585876,0.753831302800648,0.4641069770526555,0.27584833306090945,0.15023671964636484,0.07939897554220929
Iowa St,1.0,0.974397599697113,0.7364125081790989,0.5028502041748674,0.2600212479419255,0.14733474877978386,0.07358049945273216
Illinois,1.0,0.9581442475318909,0.7234674195132784,0.3792492858510613,0.20825115369805658,0.10179782693785684,0.049607513606503055
Purdue,1.0,0.9633350372314453,0.7148505363233071,0.40297992802268556,0.1887691949461128,0.08244865688941462,0.03469235974032081
Gonzaga,1.0,0.9495967626571655,0.6361050811253053,0.36286876327751394,0.17378698949844962,0.07800456353183922,0.03288311855104283
Connecticut,1.0,0.9476070404052734,0.6370081622763377,0.344981083411227,0.12894215633694542,0.053509178280516954,0.020417996172985203
Michigan St,1.0,0.8886063098907471,0.5261567041049016,0.3002330420885679,0.11305383615898233,0.04650471866940225,0.018185758483294356
St John's,1.0,0.8200922459363937,0.5451537848209598,0.1843345439241063,0.10165732142706516,0.043270351606868186,0.017176443190358714
Nebraska,1.0,0.9063290953636169,0.5268915022749142,0.20547939996817371,0.08201221911594707,0.030520946102451804,0.010866077710237282
Louisville,1.0,0.7258312106132507,0.37493972115895824,0.1953572553959755,0.06658328494781354,0.02616074511812404,0.009377144799178888
Tennessee,1.0,0.6918336153030396,0.39198925882569347,0.16367124960032411,0.06170097575892336,0.025363092611199695,0.009041589224777541
Alabama,1.0,0.845134973526001,0.4891937149069441,0.1517808418700887,0.06567185382603145,0.025852703948887213,0.008996348187847265
Virginia,1.0,0.9168778657913208,0.48730080431665673,0.19361155678099218,0.06571009100147449,0.02517686450983733,0.008461675147680349
Arkansas,1.0,0.8765870928764343,0.5093807320352143,0.17053590497512294,0.07327180150770338,0.02404795007542809,0.0074792666455229945
Vanderbilt,1.0,0.7813620120286942,0.4062151856884235,0.15457428554814545,0.0598276418467247,0.021314096068596935,0.0074411781448299
Texas Tech,1.0,0.7953037321567535,0.43009965734691463,0.1324786219494604,0.056454102615684745,0.02155022014693824,0.007095082143075086
Wisconsin,1.0,0.8015189915895462,0.42048077765101227,0.128174143650936,0.053442259944055916,0.01687852688393704,0.005004932768635145
BYU,1.0,0.6301440596580505,0.2497510910947958,0.1081972406207618,0.03763119813855345,0.011980037616371987,0.003558152336674987
Kansas,1.0,0.8513789772987366,0.37512958311299094,0.09188243607490061,0.036827714494838834,0.011432053372205524,0.003215253192432517
UCLA,1.0,0.6663239002227783,0.26913155361377394,0.10846930044181355,0.02939777186122726,0.008458356320541947,0.0023040346521502734
Ohio St,1.0,0.6060919165611267,0.11810306635564542,0.05241391821255027,0.02179807903081544,0.006829309842872453,0.001947114126422781
Kentucky,1.0,0.5705457925796509,0.15906857645525907,0.07064551003141176,0.019538910167058682,0.006262773290020331,0.0016942660453696452
Iowa,1.0,0.5329869985580444,0.13355454784474555,0.0594849793263281,0.018553232016110532,0.005407725043907874,0.001524671097974063
St Mary's CA,1.0,0.5547520518302917,0.14658647822717896,0.05288088288038235,0.017318092817824766,0.005058145310159776,0.0013438277970831873
North Carolina,1.0,0.5963114500045776,0.18181871430707772,0.054685390493658254,0.017361876511735614,0.004776090625620184,0.001190007736667997
Georgia,1.0,0.5874807834625244,0.1083967871275846,0.04615253475312549,0.01513307450201683,0.004459798263543104,0.001080863774011696
Miami FL,1.0,0.5667011141777039,0.16926116331329197,0.05813649238774258,0.01519896831238557,0.0036016815334845484,0.0007749296621684934
Clemson,1.0,0.46701300144195557,0.10234844642547493,0.04011223967627983,0.01119588263066781,0.0028694755327884377,0.000696786483314113
Utah St,1.0,0.48893463611602783,0.08767213778483295,0.03635550260582997,0.011423684554657294,0.002688694156663722,0.0005950621874161273
Villanova,1.0,0.5110653638839722,0.09479861388401424,0.037347368240770874,0.011652336154892131,0.0026879596104349367,0.0005780463981834506
Santa Clara,1.0,0.4294542074203491,0.10216988744786057,0.04015583647458591,0.009674521296274646,0.0025871638728989267,0.0005762744304968823
NC State,1.0,0.36985594034194946,0.1077484300619251,0.03756168908971397,0.00957751235916361,0.002097293964416067,0.0004355174457107821
Texas A&M,1.0,0.44524794816970825,0.09421840124378715,0.02836843985135721,0.007658188576320789,0.001833004940686195,0.0003909369142347581
TCU,1.0,0.3939080834388733,0.05121371206429081,0.01783341207246377,0.005704180607606947,0.0012457605430540764,0.00025411480588244536
SMU,1.0,0.30816638469696045,0.11111867184673178,0.028352864084200406,0.0056018692498755315,0.0012993589737989356,0.00025076613605409576
St Louis,1.0,0.4125192165374756,0.054477031812708826,0.018423427692010746,0.004894377664075742,0.001173400077633188,0.00022757221201043828
Missouri,1.0,0.43329888582229614,0.11185295813694264,0.02954860736875613,0.006165529097019302,0.001098574866303038,0.00018931025988159654
South Florida,1.0,0.27416878938674927,0.08081013787782464,0.025786309025684604,0.004261715388858413,0.000823417562816367,0.00014434355495696228
VCU,1.0,0.40368854999542236,0.08841087879782054,0.01993472186625464,0.0044386180348855095,0.000803707089768858,0.00014252434778482356
UCF,1.0,0.3336760997772217,0.08691645234486135,0.021870107759638168,0.003241252864575456,0.0005376185650528895,8.266614244605239e-05
Northern Iowa,1.0,0.17990775406360626,0.06039995677844435,0.006859384750147661,0.0014959424049322757,0.00022785887786196785,3.0142714878530793e-05
McNeese St,1.0,0.21863798797130585,0.054881897427183905,0.00821962851744921,0.0012179636776577408,0.00017046914819536968,2.085059937423965e-05
Akron,1.0,0.20469626784324646,0.04664863507357017,0.00464393675925175,0.0007526146892268158,0.00010235927647149954,1.0901493157944741e-05
High Point,1.0,0.1984810084104538,0.04779391331495003,0.005202782490481249,0.0007756986452837387,7.829014669157761e-05,7.466745635784184e-06
Hofstra,1.0,0.15486502647399902,0.03405799267257116,0.0030084413746472483,0.00043666729668984463,5.3400631448728446e-05,5.129609084131381e-06
N Dakota St,1.0,0.11139369010925293,0.018093436858315548,0.0028705302649763213,0.0002116720033038737,1.7285885893164922e-05,1.264720414075186e-06
Hawaii,1.0,0.12341290712356567,0.022344576998823428,0.0015390343946613885,0.00016438262763151032,1.113264607320056e-05,7.208143587568331e-07
Cal Baptist,1.0,0.14862102270126343,0.019316675287604893,0.0009529001876565007,0.00011027099980283213,7.794419825387867e-06,4.733772756688203e-07
Troy,1.0,0.09367090463638306,0.012011414609478353,0.0007271907345634318,4.324447694623172e-05,2.407416087463261e-06,1.2143652592013893e-07
Idaho,1.0,0.036831438541412354,0.005363817728385879,0.00040597938164843524,2.735934338744437e-05,1.4794096072491804e-06,6.672464228278094e-08
Wright St,1.0,0.0831221342086792,0.009591265010917999,0.000562196231915699,2.369304176154391e-05,1.295682568130931e-06,5.280882443899989e-08
Kennesaw,1.0,0.05040323734283447,0.006395397717973792,0.0005221837886890654,2.982825910258419e-05,1.2343563157044595e-06,4.793508397532273e-08
Penn,1.0,0.04185575246810913,0.006302987381823281,0.00036832262298224503,2.3439023948729048e-05,1.187120894993146e-06,4.774843469400985e-08
Furman,1.0,0.05239295959472656,0.006943831765027006,0.0004323716121169069,1.4533928908074695e-05,5.235975464666827e-07,1.7460321072818647e-08
Tennessee St,1.0,0.025602400302886963,0.0023490279177815275,0.00015058262170264067,4.506207606076645e-06,1.7949182123563667e-07,4.8441723208663876e-09
Siena,1.0,0.010030090808868408,0.0010462817126292978,8.072103217631084e-05,4.818475895982532e-06,1.5749861239259204e-07,4.334079860661244e-09
Queens NC,1.0,0.03666496276855469,0.004035342226458329,0.00018509544413687303,6.180628959619917e-06,1.5910406503754518e-07,3.803815375804653e-09
Howard,1.0,0.010515773668885231,0.0009706724541621578,6.0570114272164544e-05,2.5568340904565787e-06,7.547791740176031e-08,1.9220254855196327e-09
LIU Brooklyn,1.0,0.010552763938903809,0.0011678051186803922,8.366984854578866e-05,3.2962499258395367e-06,8.297898182503222e-08,1.9048204787110724e-09
Lehigh,1.0,0.006006002426147461,0.00026338899047318327,7.562050670950439e-06,1.0274570138108977e-07,1.4342157027059521e-09,1.2481686818261648e-11
