mean,std,percentile_025,percentile_500,percentile_975,name
0.012440047226846218,0.003506401786580682,0.005741993896663189,0.012447889894247055,0.01922396756708622,beta_pace_is_ncaa_tourney
-0.0076894075609743595,0.001523542683571577,-0.010744980536401272,-0.00768652930855751,-0.004755719564855099,beta_pace_is_conf_tourney
-0.014915822073817253,0.0014716244768351316,-0.017864583060145378,-0.014899984002113342,-0.012028996832668781,beta_pace_team1_b2b
-0.0023995181545615196,0.0007792061660438776,-0.003906868398189545,-0.0023920629173517227,-0.0008723358623683453,beta_pace_team1_2in3
-0.012239733710885048,0.003126412397250533,-0.018214762210845947,-0.01219413336366415,-0.0061490703374147415,beta_pace_team1_3in4
-0.03611968457698822,0.013074241578578949,-0.06103912740945816,-0.036456398665905,-0.00967397540807724,beta_pace_team1_4in5
-0.014960316009819508,0.0015396095113828778,-0.017995420843362808,-0.014937865547835827,-0.011872365139424801,beta_pace_team2_b2b
-0.0024038907140493393,0.0007217929232865572,-0.00376119464635849,-0.0024066625628620386,-0.0010004732757806778,beta_pace_team2_2in3
-0.01218915544450283,0.003388702869415283,-0.018750306218862534,-0.012198986485600471,-0.005637702997773886,beta_pace_team2_3in4
-0.03703715652227402,0.013177202083170414,-0.06234972923994064,-0.03712180629372597,-0.010120103135704994,beta_pace_team2_4in5
-0.07044444978237152,0.0003666984848678112,-0.07116823643445969,-0.07044857740402222,-0.06973191350698471,beta_pace_days_into_season_norm
0.03709828481078148,0.0003789165348280221,0.03639041259884834,0.037099890410900116,0.03788137063384056,beta_pace_days_into_season_norm_sq
0.005521460901945829,0.0003754028002731502,0.004769809078425169,0.005519699305295944,0.006251731887459755,beta_pace_team1_log_travel_distance_diff
-0.010153105482459068,0.00038068805588409305,-0.010881940834224224,-0.0101511524990201,-0.009415728971362114,beta_pace_team1_log_elevation_diff
0.005553115624934435,0.0003811311617027968,0.004830280318856239,0.005548372864723206,0.00626688078045845,beta_pace_team2_log_travel_distance_diff
-0.010055565275251865,0.00037113766302354634,-0.010770263150334358,-0.010051621124148369,-0.009342875331640244,beta_pace_team2_log_elevation_diff
0.01367335207760334,0.003131526755169034,0.007515352685004473,0.013657134026288986,0.01989801600575447,beta_ppp_is_ncaa_tourney
0.00532107288017869,0.0014411521842703223,0.002503251424059272,0.005362517666071653,0.008128990419209003,beta_ppp_is_conf_tourney
0.005481986328959465,0.0014440775848925114,0.002667907625436783,0.005512213334441185,0.008285523392260075,beta_ppp_team1_b2b
0.00504095945507288,0.0007163927657529712,0.0036608579102903605,0.005027861334383488,0.0064836302772164345,beta_ppp_team1_2in3
0.0028145445976406336,0.003004541387781501,-0.003021850483492017,0.002857192885130644,0.00865054503083229,beta_ppp_team1_3in4
-0.004665810614824295,0.008774525485932827,-0.021884534507989883,-0.004696493037045002,0.012857367284595966,beta_ppp_team1_4in5
0.005530074704438448,0.0013871967094019055,0.0028199737425893545,0.005536885466426611,0.00807035993784666,beta_ppp_team2_b2b
0.005044521763920784,0.000692569010425359,0.003661292837932706,0.005062036216259003,0.006417233496904373,beta_ppp_team2_2in3
0.002507777651771903,0.0029311226680874825,-0.0032868883572518826,0.0025129891000688076,0.008276661857962608,beta_ppp_team2_3in4
-0.004867546260356903,0.008549521677196026,-0.020371941849589348,-0.005034905858337879,0.012371418997645378,beta_ppp_team2_4in5
0.01639365218579769,0.0003625241806730628,0.015677332878112793,0.016384242102503777,0.017086276784539223,beta_ppp_days_into_season_norm
-0.0006443918100558221,0.0003348659083712846,-0.0012922685127705336,-0.0006475705886259675,0.000019655877622426488,beta_ppp_days_into_season_norm_sq
5.820189016958466e-6,0.00034876831341534853,-0.000680991739500314,0.00001282571247429587,0.0006544826901517808,beta_ppp_team1_log_travel_distance_diff
-1.6411636352131609e-6,0.0003505392523948103,-0.0007015167502686381,-5.688220426236512e-6,0.0006715603522025049,beta_ppp_team1_log_elevation_diff
9.55088125920156e-6,0.0003492654941510409,-0.0006614535814151168,0.00001145150417869445,0.0007116509368643165,beta_ppp_team2_log_travel_distance_diff
-4.445226295501925e-6,0.0003477496502455324,-0.0006590604898519814,-0.000013189774108468555,0.0006957617588341236,beta_ppp_team2_log_elevation_diff
1.1715967655181885,0.00033764229738153517,1.1709232330322266,1.1715972423553467,1.1722583770751953,defense_global_mean
0.06567058712244034,0.0018056436674669385,0.06222296878695488,0.06571047753095627,0.06908823549747467,hca_team_mu
1.5859873294830322,0.00036829186137765646,1.5852779150009155,1.5859864950180054,1.5867056846618652,offense_global_mean
1.5871719121932983,0.0003682203241623938,1.586456060409546,1.5871731042861938,1.5878764390945435,pace_global_mean
201.4285430908203,1.8447575569152832,197.78836059570312,201.46157836914062,205.0645294189453,phi_score
0.45369753241539,0.06436020135879517,0.33769339323043823,0.44859153032302856,0.5935552716255188,sigma_defense_season
0.07962863892316818,0.0006939535378478467,0.07824926823377609,0.07961993664503098,0.0810222253203392,sigma_defense_team
0.49375367164611816,0.06494130939245224,0.3787766098976135,0.4896838665008545,0.6308739185333252,sigma_offense_season
0.10166122764348984,0.0009388549951836467,0.09985864162445068,0.10165996849536896,0.10345438867807388,sigma_offense_team
0.022135106846690178,0.003934258595108986,0.015519749373197556,0.02180909924209118,0.03042818047106266,sigma_pace_season
0.12497793883085251,0.001076768385246396,0.12286771833896637,0.12497691810131073,0.12711003422737122,sigma_pace_team
